Sample Name	Protocol REF	Parameter Value[QA Instrument]	Parameter Value[QA Score]	Unit	Term Source REF	Term Accession Number	Extract Name	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Raw Data/FastQC Reports]	Parameter Value[Raw Data/MultiQC Reports]	Parameter Value[trimmed sequence data]	Parameter Value[Trimmed Sequence Data/FastQC Reports]	Parameter Value[Trimmed Sequence Data/MultiQC Reports]	Parameter Value[Trimmed Sequence Data/Trimming Reports]	Parameter Value[aligned sequence data]	Parameter Value[Raw Counts Data]	Parameter Value[Normalized Counts Data]	Parameter Value[differential expression analysis data]	Protocol REF	Parameter Value[Merged Sequence Data]	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
4.1	Nucleic Acid Extraction	Agilent Bioanalyzer	Not Available				4.1	Library Construction	DNA	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-554_rna-seq_4_1_S21_L001_R1_001.fastq.gz,GLDS-554_rna-seq_4_1_S21_L001_R2_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-554_rna-seq_4_1_S21_L001_R1_001_fastqc.html,GLDS-554_rna-seq_4_1_S21_L001_R1_001_fastqc.zip,GLDS-554_rna-seq_4_1_S21_L001_R2_001_fastqc.html,GLDS-554_rna-seq_4_1_S21_L001_R2_001_fastqc.zip	GLDS-554_rna-seq_raw_multiqc_report.zip	GLDS-554_rna-seq_4_1_S21_L001_R1_001_val_1.fq.gz,GLDS-554_rna-seq_4_1_S21_L001_R2_001_val_2.fq.gz	GLDS-554_rna-seq_4_1_S21_L001_R1_001_val_1_fastqc.html,GLDS-554_rna-seq_4_1_S21_L001_R1_001_val_1_fastqc.zip,GLDS-554_rna-seq_4_1_S21_L001_R2_001_val_2_fastqc.html,GLDS-554_rna-seq_4_1_S21_L001_R2_001_val_2_fastqc.zip	GLDS-554_rna-seq_trimmed_multiqc_report.zip	GLDS-554_rna-seq_4_1_S21_L001_R1_001.fastq.gz_trimming_report.txt,GLDS-554_rna-seq_4_1_S21_L001_R2_001.fastq.gz_trimming_report.txt	GLDS-554_rna-seq_4_1_S21_L001_R1_001_val_1.fq.gz.sam,GLDS-554_rna-seq_4_1_S21_L001_R1_001_val_1.fq.gz.sam.sorted.bam,GLDS-554_rna-seq_4_1_S21_L001_R1_001_val_1.fq.gz.sam.sorted.bam.bai,GLDS-554_rna-seq_4_1_S21_L001_R1_001_val_1.fq.gz.stderr.gz	GLDS-554_rna-seq_FeatureCounts_ReadsPerGene_all_data.xlsx	GLDS-554_rna-seq_Normalized_counts.zip	GLDS-554_rna-seq_DESeq2.zip	GeneLab raw data processing protocol	GLDS-554_rna_seq_4_1_S21_L001_R1_raw.fastq.gz,GLDS-554_rna_seq_4_1_S21_L001_R2_raw.fastq.gz	23371685	read	SO	http://purl.obolibrary.org/obo/SO_0000150	55.95	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-554_rna_seq_GL-raw_multiqc_report.zip
4.2	Nucleic Acid Extraction	Agilent Bioanalyzer	Not Available				4.2	Library Construction	DNA	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-554_rna-seq_4_2_S22_L001_R1_001.fastq.gz,GLDS-554_rna-seq_4_2_S22_L001_R2_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-554_rna-seq_4_2_S22_L001_R1_001_fastqc.html,GLDS-554_rna-seq_4_2_S22_L001_R1_001_fastqc.zip,GLDS-554_rna-seq_4_2_S22_L001_R2_001_fastqc.html,GLDS-554_rna-seq_4_2_S22_L001_R2_001_fastqc.zip	GLDS-554_rna-seq_raw_multiqc_report.zip	GLDS-554_rna-seq_4_2_S22_L001_R1_001_val_1.fq.gz,GLDS-554_rna-seq_4_2_S22_L001_R2_001_val_2.fq.gz	GLDS-554_rna-seq_4_2_S22_L001_R1_001_val_1_fastqc.html,GLDS-554_rna-seq_4_2_S22_L001_R1_001_val_1_fastqc.zip,GLDS-554_rna-seq_4_2_S22_L001_R2_001_val_2_fastqc.html,GLDS-554_rna-seq_4_2_S22_L001_R2_001_val_2_fastqc.zip	GLDS-554_rna-seq_trimmed_multiqc_report.zip	GLDS-554_rna-seq_4_2_S22_L001_R1_001.fastq.gz_trimming_report.txt,GLDS-554_rna-seq_4_2_S22_L001_R2_001.fastq.gz_trimming_report.txt	GLDS-554_rna-seq_4_2_S22_L001_R1_001_val_1.fq.gz.sam,GLDS-554_rna-seq_4_2_S22_L001_R1_001_val_1.fq.gz.sam.sorted.bam,GLDS-554_rna-seq_4_2_S22_L001_R1_001_val_1.fq.gz.sam.sorted.bam.bai,GLDS-554_rna-seq_4_2_S22_L001_R1_001_val_1.fq.gz.stderr.gz	GLDS-554_rna-seq_FeatureCounts_ReadsPerGene_all_data.xlsx	GLDS-554_rna-seq_Normalized_counts.zip	GLDS-554_rna-seq_DESeq2.zip	GeneLab raw data processing protocol	GLDS-554_rna_seq_4_2_S22_L001_R1_raw.fastq.gz,GLDS-554_rna_seq_4_2_S22_L001_R2_raw.fastq.gz	15714950	read	SO	http://purl.obolibrary.org/obo/SO_0000150	46.9	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-554_rna_seq_GL-raw_multiqc_report.zip
4.3	Nucleic Acid Extraction	Agilent Bioanalyzer	Not Available				4.3	Library Construction	DNA	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-554_rna-seq_4_3_S23_L001_R1_001.fastq.gz,GLDS-554_rna-seq_4_3_S23_L001_R2_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-554_rna-seq_4_3_S23_L001_R1_001_fastqc.html,GLDS-554_rna-seq_4_3_S23_L001_R1_001_fastqc.zip,GLDS-554_rna-seq_4_3_S23_L001_R2_001_fastqc.html,GLDS-554_rna-seq_4_3_S23_L001_R2_001_fastqc.zip	GLDS-554_rna-seq_raw_multiqc_report.zip	GLDS-554_rna-seq_4_3_S23_L001_R1_001_val_1.fq.gz,GLDS-554_rna-seq_4_3_S23_L001_R2_001_val_2.fq.gz	GLDS-554_rna-seq_4_3_S23_L001_R1_001_val_1_fastqc.html,GLDS-554_rna-seq_4_3_S23_L001_R1_001_val_1_fastqc.zip,GLDS-554_rna-seq_4_3_S23_L001_R2_001_val_2_fastqc.html,GLDS-554_rna-seq_4_3_S23_L001_R2_001_val_2_fastqc.zip	GLDS-554_rna-seq_trimmed_multiqc_report.zip	GLDS-554_rna-seq_4_3_S23_L001_R1_001.fastq.gz_trimming_report.txt,GLDS-554_rna-seq_4_3_S23_L001_R2_001.fastq.gz_trimming_report.txt	GLDS-554_rna-seq_4_3_S23_L001_R1_001_val_1.fq.gz.sam,GLDS-554_rna-seq_4_3_S23_L001_R1_001_val_1.fq.gz.sam.sorted.bam,GLDS-554_rna-seq_4_3_S23_L001_R1_001_val_1.fq.gz.sam.sorted.bam.bai,GLDS-554_rna-seq_4_3_S23_L001_R1_001_val_1.fq.gz.stderr.gz	GLDS-554_rna-seq_FeatureCounts_ReadsPerGene_all_data.xlsx	GLDS-554_rna-seq_Normalized_counts.zip	GLDS-554_rna-seq_DESeq2.zip	GeneLab raw data processing protocol	GLDS-554_rna_seq_4_3_S23_L001_R1_raw.fastq.gz,GLDS-554_rna_seq_4_3_S23_L001_R2_raw.fastq.gz	19196383	read	SO	http://purl.obolibrary.org/obo/SO_0000150	52.13	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-554_rna_seq_GL-raw_multiqc_report.zip
4.4	Nucleic Acid Extraction	Agilent Bioanalyzer	Not Available				4.4	Library Construction	DNA	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-554_rna-seq_4_4_S24_L001_R1_001.fastq.gz,GLDS-554_rna-seq_4_4_S24_L001_R2_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-554_rna-seq_4_4_S24_L001_R1_001_fastqc.html,GLDS-554_rna-seq_4_4_S24_L001_R1_001_fastqc.zip,GLDS-554_rna-seq_4_4_S24_L001_R2_001_fastqc.html,GLDS-554_rna-seq_4_4_S24_L001_R2_001_fastqc.zip	GLDS-554_rna-seq_raw_multiqc_report.zip	GLDS-554_rna-seq_4_4_S24_L001_R1_001_val_1.fq.gz,GLDS-554_rna-seq_4_4_S24_L001_R2_001_val_2.fq.gz	GLDS-554_rna-seq_4_4_S24_L001_R1_001_val_1_fastqc.html,GLDS-554_rna-seq_4_4_S24_L001_R1_001_val_1_fastqc.zip,GLDS-554_rna-seq_4_4_S24_L001_R2_001_val_2_fastqc.html,GLDS-554_rna-seq_4_4_S24_L001_R2_001_val_2_fastqc.zip	GLDS-554_rna-seq_trimmed_multiqc_report.zip	GLDS-554_rna-seq_4_4_S24_L001_R1_001.fastq.gz_trimming_report.txt,GLDS-554_rna-seq_4_4_S24_L001_R2_001.fastq.gz_trimming_report.txt	GLDS-554_rna-seq_4_4_S24_L001_R1_001_val_1.fq.gz.sam,GLDS-554_rna-seq_4_4_S24_L001_R1_001_val_1.fq.gz.sam.sorted.bam,GLDS-554_rna-seq_4_4_S24_L001_R1_001_val_1.fq.gz.sam.sorted.bam.bai,GLDS-554_rna-seq_4_4_S24_L001_R1_001_val_1.fq.gz.stderr.gz	GLDS-554_rna-seq_FeatureCounts_ReadsPerGene_all_data.xlsx	GLDS-554_rna-seq_Normalized_counts.zip	GLDS-554_rna-seq_DESeq2.zip	GeneLab raw data processing protocol	GLDS-554_rna_seq_4_4_S24_L001_R1_raw.fastq.gz,GLDS-554_rna_seq_4_4_S24_L001_R2_raw.fastq.gz	25297727	read	SO	http://purl.obolibrary.org/obo/SO_0000150	65.04	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-554_rna_seq_GL-raw_multiqc_report.zip
4.6	Nucleic Acid Extraction	Agilent Bioanalyzer	Not Available				4.6	Library Construction	DNA	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-554_rna-seq_4_6_S25_L001_R1_001.fastq.gz,GLDS-554_rna-seq_4_6_S25_L001_R2_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-554_rna-seq_4_6_S25_L001_R1_001_fastqc.html,GLDS-554_rna-seq_4_6_S25_L001_R1_001_fastqc.zip,GLDS-554_rna-seq_4_6_S25_L001_R2_001_fastqc.html,GLDS-554_rna-seq_4_6_S25_L001_R2_001_fastqc.zip	GLDS-554_rna-seq_raw_multiqc_report.zip	GLDS-554_rna-seq_4_6_S25_L001_R1_001_val_1.fq.gz,GLDS-554_rna-seq_4_6_S25_L001_R2_001_val_2.fq.gz	GLDS-554_rna-seq_4_6_S25_L001_R1_001_val_1_fastqc.html,GLDS-554_rna-seq_4_6_S25_L001_R1_001_val_1_fastqc.zip,GLDS-554_rna-seq_4_6_S25_L001_R2_001_val_2_fastqc.html,GLDS-554_rna-seq_4_6_S25_L001_R2_001_val_2_fastqc.zip	GLDS-554_rna-seq_trimmed_multiqc_report.zip	GLDS-554_rna-seq_4_6_S25_L001_R1_001.fastq.gz_trimming_report.txt,GLDS-554_rna-seq_4_6_S25_L001_R2_001.fastq.gz_trimming_report.txt	GLDS-554_rna-seq_4_6_S25_L001_R1_001_val_1.fq.gz.sam,GLDS-554_rna-seq_4_6_S25_L001_R1_001_val_1.fq.gz.sam.sorted.bam,GLDS-554_rna-seq_4_6_S25_L001_R1_001_val_1.fq.gz.sam.sorted.bam.bai,GLDS-554_rna-seq_4_6_S25_L001_R1_001_val_1.fq.gz.stderr.gz	GLDS-554_rna-seq_FeatureCounts_ReadsPerGene_all_data.xlsx	GLDS-554_rna-seq_Normalized_counts.zip	GLDS-554_rna-seq_DESeq2.zip	GeneLab raw data processing protocol	GLDS-554_rna_seq_4_6_S25_L001_R1_raw.fastq.gz,GLDS-554_rna_seq_4_6_S25_L001_R2_raw.fastq.gz	16132704	read	SO	http://purl.obolibrary.org/obo/SO_0000150	53.8	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-554_rna_seq_GL-raw_multiqc_report.zip
4.7	Nucleic Acid Extraction	Agilent Bioanalyzer	Not Available				4.7	Library Construction	DNA	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-554_rna-seq_4_7_S1_L001_R1_001.fastq.gz,GLDS-554_rna-seq_4_7_S1_L001_R2_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-554_rna-seq_4_7_S1_L001_R1_001_fastqc.html,GLDS-554_rna-seq_4_7_S1_L001_R1_001_fastqc.zip,GLDS-554_rna-seq_4_7_S1_L001_R2_001_fastqc.html,GLDS-554_rna-seq_4_7_S1_L001_R2_001_fastqc.zip	GLDS-554_rna-seq_raw_multiqc_report.zip	GLDS-554_rna-seq_4_7_S1_L001_R1_001_val_1.fq.gz,GLDS-554_rna-seq_4_7_S1_L001_R2_001_val_2.fq.gz	GLDS-554_rna-seq_4_7_S1_L001_R1_001_val_1_fastqc.html,GLDS-554_rna-seq_4_7_S1_L001_R1_001_val_1_fastqc.zip,GLDS-554_rna-seq_4_7_S1_L001_R2_001_val_2_fastqc.html,GLDS-554_rna-seq_4_7_S1_L001_R2_001_val_2_fastqc.zip	GLDS-554_rna-seq_trimmed_multiqc_report.zip	GLDS-554_rna-seq_4_7_S1_L001_R1_001.fastq.gz_trimming_report.txt,GLDS-554_rna-seq_4_7_S1_L001_R2_001.fastq.gz_trimming_report.txt	GLDS-554_rna-seq_4_7_S1_L001_R1_001_val_1.fq.gz.sam,GLDS-554_rna-seq_4_7_S1_L001_R1_001_val_1.fq.gz.sam.sorted.bam,GLDS-554_rna-seq_4_7_S1_L001_R1_001_val_1.fq.gz.sam.sorted.bam.bai,GLDS-554_rna-seq_4_7_S1_L001_R1_001_val_1.fq.gz.stderr.gz	GLDS-554_rna-seq_FeatureCounts_ReadsPerGene_all_data.xlsx	GLDS-554_rna-seq_Normalized_counts.zip	GLDS-554_rna-seq_DESeq2.zip	GeneLab raw data processing protocol	GLDS-554_rna_seq_4_7_S1_L001_R1_raw.fastq.gz,GLDS-554_rna_seq_4_7_S1_L001_R2_raw.fastq.gz	13222990	read	SO	http://purl.obolibrary.org/obo/SO_0000150	73.68	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-554_rna_seq_GL-raw_multiqc_report.zip
4.8	Nucleic Acid Extraction	Agilent Bioanalyzer	9.2	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	4.8	Library Construction	DNA	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-554_rna-seq_4_8_S26_L001_R1_001.fastq.gz,GLDS-554_rna-seq_4_8_S26_L001_R2_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-554_rna-seq_4_8_S26_L001_R1_001_fastqc.html,GLDS-554_rna-seq_4_8_S26_L001_R1_001_fastqc.zip,GLDS-554_rna-seq_4_8_S26_L001_R2_001_fastqc.html,GLDS-554_rna-seq_4_8_S26_L001_R2_001_fastqc.zip	GLDS-554_rna-seq_raw_multiqc_report.zip	GLDS-554_rna-seq_4_8_S26_L001_R1_001_val_1.fq.gz,GLDS-554_rna-seq_4_8_S26_L001_R2_001_val_2.fq.gz	GLDS-554_rna-seq_4_8_S26_L001_R1_001_val_1_fastqc.html,GLDS-554_rna-seq_4_8_S26_L001_R1_001_val_1_fastqc.zip,GLDS-554_rna-seq_4_8_S26_L001_R2_001_val_2_fastqc.html,GLDS-554_rna-seq_4_8_S26_L001_R2_001_val_2_fastqc.zip	GLDS-554_rna-seq_trimmed_multiqc_report.zip	GLDS-554_rna-seq_4_8_S26_L001_R1_001.fastq.gz_trimming_report.txt,GLDS-554_rna-seq_4_8_S26_L001_R2_001.fastq.gz_trimming_report.txt	GLDS-554_rna-seq_4_8_S26_L001_R1_001_val_1.fq.gz.sam,GLDS-554_rna-seq_4_8_S26_L001_R1_001_val_1.fq.gz.sam.sorted.bam,GLDS-554_rna-seq_4_8_S26_L001_R1_001_val_1.fq.gz.sam.sorted.bam.bai,GLDS-554_rna-seq_4_8_S26_L001_R1_001_val_1.fq.gz.stderr.gz	GLDS-554_rna-seq_FeatureCounts_ReadsPerGene_all_data.xlsx	GLDS-554_rna-seq_Normalized_counts.zip	GLDS-554_rna-seq_DESeq2.zip	GeneLab raw data processing protocol	GLDS-554_rna_seq_4_8_S26_L001_R1_raw.fastq.gz,GLDS-554_rna_seq_4_8_S26_L001_R2_raw.fastq.gz	17695489	read	SO	http://purl.obolibrary.org/obo/SO_0000150	71.26	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-554_rna_seq_GL-raw_multiqc_report.zip
5.1	Nucleic Acid Extraction	Agilent Bioanalyzer	8.1	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	5.1	Library Construction	DNA	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-554_rna-seq_5_1_S32_L001_R1_001.fastq.gz,GLDS-554_rna-seq_5_1_S32_L001_R2_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-554_rna-seq_5_1_S32_L001_R1_001_fastqc.html,GLDS-554_rna-seq_5_1_S32_L001_R1_001_fastqc.zip,GLDS-554_rna-seq_5_1_S32_L001_R2_001_fastqc.html,GLDS-554_rna-seq_5_1_S32_L001_R2_001_fastqc.zip	GLDS-554_rna-seq_raw_multiqc_report.zip	GLDS-554_rna-seq_5_1_S32_L001_R1_001_val_1.fq.gz,GLDS-554_rna-seq_5_1_S32_L001_R2_001_val_2.fq.gz	GLDS-554_rna-seq_5_1_S32_L001_R1_001_val_1_fastqc.html,GLDS-554_rna-seq_5_1_S32_L001_R1_001_val_1_fastqc.zip,GLDS-554_rna-seq_5_1_S32_L001_R2_001_val_2_fastqc.html,GLDS-554_rna-seq_5_1_S32_L001_R2_001_val_2_fastqc.zip	GLDS-554_rna-seq_trimmed_multiqc_report.zip	GLDS-554_rna-seq_5_1_S32_L001_R1_001.fastq.gz_trimming_report.txt,GLDS-554_rna-seq_5_1_S32_L001_R2_001.fastq.gz_trimming_report.txt	GLDS-554_rna-seq_5_1_S32_L001_R1_001_val_1.fq.gz.sam,GLDS-554_rna-seq_5_1_S32_L001_R1_001_val_1.fq.gz.sam.sorted.bam,GLDS-554_rna-seq_5_1_S32_L001_R1_001_val_1.fq.gz.sam.sorted.bam.bai,GLDS-554_rna-seq_5_1_S32_L001_R1_001_val_1.fq.gz.stderr.gz	GLDS-554_rna-seq_FeatureCounts_ReadsPerGene_all_data.xlsx	GLDS-554_rna-seq_Normalized_counts.zip	GLDS-554_rna-seq_DESeq2.zip	GeneLab raw data processing protocol	GLDS-554_rna_seq_5_1_S32_L001_R1_raw.fastq.gz,GLDS-554_rna_seq_5_1_S32_L001_R2_raw.fastq.gz	16472275	read	SO	http://purl.obolibrary.org/obo/SO_0000150	63.45	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-554_rna_seq_GL-raw_multiqc_report.zip
5.2	Nucleic Acid Extraction	Agilent Bioanalyzer	9.2	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	5.2	Library Construction	DNA	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-554_rna-seq_5_2_S33_L001_R1_001.fastq.gz,GLDS-554_rna-seq_5_2_S33_L001_R2_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-554_rna-seq_5_2_S33_L001_R1_001_fastqc.html,GLDS-554_rna-seq_5_2_S33_L001_R1_001_fastqc.zip,GLDS-554_rna-seq_5_2_S33_L001_R2_001_fastqc.html,GLDS-554_rna-seq_5_2_S33_L001_R2_001_fastqc.zip	GLDS-554_rna-seq_raw_multiqc_report.zip	GLDS-554_rna-seq_5_2_S33_L001_R1_001_val_1.fq.gz,GLDS-554_rna-seq_5_2_S33_L001_R2_001_val_2.fq.gz	GLDS-554_rna-seq_5_2_S33_L001_R1_001_val_1_fastqc.html,GLDS-554_rna-seq_5_2_S33_L001_R1_001_val_1_fastqc.zip,GLDS-554_rna-seq_5_2_S33_L001_R2_001_val_2_fastqc.html,GLDS-554_rna-seq_5_2_S33_L001_R2_001_val_2_fastqc.zip	GLDS-554_rna-seq_trimmed_multiqc_report.zip	GLDS-554_rna-seq_5_2_S33_L001_R1_001.fastq.gz_trimming_report.txt,GLDS-554_rna-seq_5_2_S33_L001_R2_001.fastq.gz_trimming_report.txt	GLDS-554_rna-seq_5_2_S33_L001_R1_001_val_1.fq.gz.sam,GLDS-554_rna-seq_5_2_S33_L001_R1_001_val_1.fq.gz.sam.sorted.bam,GLDS-554_rna-seq_5_2_S33_L001_R1_001_val_1.fq.gz.sam.sorted.bam.bai,GLDS-554_rna-seq_5_2_S33_L001_R1_001_val_1.fq.gz.stderr.gz	GLDS-554_rna-seq_FeatureCounts_ReadsPerGene_all_data.xlsx	GLDS-554_rna-seq_Normalized_counts.zip	GLDS-554_rna-seq_DESeq2.zip	GeneLab raw data processing protocol	GLDS-554_rna_seq_5_2_S33_L001_R1_raw.fastq.gz,GLDS-554_rna_seq_5_2_S33_L001_R2_raw.fastq.gz	9629700	read	SO	http://purl.obolibrary.org/obo/SO_0000150	60.18	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-554_rna_seq_GL-raw_multiqc_report.zip
5.3	Nucleic Acid Extraction	Agilent Bioanalyzer	Not Available				5.3	Library Construction	DNA	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-554_rna-seq_5_3_S34_L001_R1_001.fastq.gz,GLDS-554_rna-seq_5_3_S34_L001_R2_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-554_rna-seq_5_3_S34_L001_R1_001_fastqc.html,GLDS-554_rna-seq_5_3_S34_L001_R1_001_fastqc.zip,GLDS-554_rna-seq_5_3_S34_L001_R2_001_fastqc.html,GLDS-554_rna-seq_5_3_S34_L001_R2_001_fastqc.zip	GLDS-554_rna-seq_raw_multiqc_report.zip	GLDS-554_rna-seq_5_3_S34_L001_R1_001_val_1.fq.gz,GLDS-554_rna-seq_5_3_S34_L001_R2_001_val_2.fq.gz	GLDS-554_rna-seq_5_3_S34_L001_R1_001_val_1_fastqc.html,GLDS-554_rna-seq_5_3_S34_L001_R1_001_val_1_fastqc.zip,GLDS-554_rna-seq_5_3_S34_L001_R2_001_val_2_fastqc.html,GLDS-554_rna-seq_5_3_S34_L001_R2_001_val_2_fastqc.zip	GLDS-554_rna-seq_trimmed_multiqc_report.zip	GLDS-554_rna-seq_5_3_S34_L001_R1_001.fastq.gz_trimming_report.txt,GLDS-554_rna-seq_5_3_S34_L001_R2_001.fastq.gz_trimming_report.txt	GLDS-554_rna-seq_5_3_S34_L001_R1_001_val_1.fq.gz.sam,GLDS-554_rna-seq_5_3_S34_L001_R1_001_val_1.fq.gz.sam.sorted.bam,GLDS-554_rna-seq_5_3_S34_L001_R1_001_val_1.fq.gz.sam.sorted.bam.bai,GLDS-554_rna-seq_5_3_S34_L001_R1_001_val_1.fq.gz.stderr.gz	GLDS-554_rna-seq_FeatureCounts_ReadsPerGene_all_data.xlsx	GLDS-554_rna-seq_Normalized_counts.zip	GLDS-554_rna-seq_DESeq2.zip	GeneLab raw data processing protocol	GLDS-554_rna_seq_5_3_S34_L001_R1_raw.fastq.gz,GLDS-554_rna_seq_5_3_S34_L001_R2_raw.fastq.gz	16435576	read	SO	http://purl.obolibrary.org/obo/SO_0000150	61.55	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-554_rna_seq_GL-raw_multiqc_report.zip
